user_index,user_name,user_description,follow,friend
0, shinebrightart, Lover of all things creative and cultural,[],"[1, 2, 3, 7, 8, 11, 12, 13, 15, 20]"
1, creativefusions, Passionate about merging art and culture,[],[]
2, thecuriousmuse, Curator of historical artifacts and lover of all things cultural,[],[12]
3, artistinprogress, Sharing my artistic journey and love for diverse cultures,[],"[0, 1, 2, 7, 8, 11, 12, 13, 15, 20]"
4,TechTitan2020,"Tech enthusiast and entrepreneur, passionate about AI, robotics, and innovation",[],[]
5,FitGirl88,"Fitness influencer and wellness coach, sharing workout tips and healthy recipes",[],[]
6,EarthLover3000,"Environmental activist and nature lover, fighting for climate change awareness and sustainable living",[],[]
7,Code Ninja99,"Software engineer and coding expert, sharing programming tips and industry insights",[],[]
8,BookWorm23,"Avid reader and book reviewer, sharing book recommendations and literary analysis",[],[20]
9,TechTitan2000,"Tech enthusiast and coding expert, sharing latest updates on AI, robotics, and cybersecurity.",[],[19]
10,FitFamGirl88,"Fitness enthusiast and nutrition coach, sharing workout tips, healthy recipes, and motivational quotes.","[0, 2, 1, 3, 13, 7, 14, 12, 18, 11, 8, 9, 20, 19, 15, 4, 5, 16, 17, 6]",[]
11,BreakingNewsNow,"Breaking news and updates on politics, economy, and global events, 24/7.",[],[18]
12,Bookworm23,"Avid reader and book reviewer, sharing reviews, recommendations, and author interviews.",[],[]
13,TravelWithTom,"Adventure seeker and travel blogger, sharing travel tips, destination guides, and stunning visuals.",[],[]
14,techguru3000,Tech enthusiast | Startup founder | AI and machine learning expert,[],[]
15,EcoWarrior95,Climate activist | Sustainable living advocate | Fighting for a greener tomorrow,[],[]
16,foodie_in_nyc,Food blogger | Restaurant reviewer | NYC's best eats and hidden gems,[0],[]
17,spacecowboy22,Astrophysicist | Space exploration enthusiast | The cosmos and beyond,[],[]
18,politico_insider,Political analyst | News commentator | Breaking news and analysis from DC,[],[]
19,TechTitan2000,"Tech enthusiast and entrepreneur, interested in AI, blockchain, and startups.",[],[]
20,BookWorm95,"Avid reader and book reviewer, sharing thoughts on literature, fiction, and non-fiction.",[],[8]
21,TechGuruJane,"Tech enthusiast and software developer sharing insights on coding, AI, and the latest tech trends.",[],"[22, 23, 24, 25]"
22,TravelWithTom,"Wanderlust-filled traveler documenting adventures around the globe, sharing tips on budget travel and hidden gems.",[],"[21, 23, 24, 25]"
23,FitnessFanatic23,"Health and fitness advocate promoting workouts, nutrition tips, and motivation for a balanced lifestyle.",[],"[21, 22, 24, 25]"
24,BookLoverLisa,"Avid reader and book reviewer sharing recommendations, literary discussions, and author interviews.",[],"[21, 22, 23, 25]"
25,EcoWarriorMike,"Environmental activist focused on sustainability, climate change awareness, and eco-friendly living tips.",[],"[21, 22, 23, 24]"
26,TechGuru,"A tech enthusiast sharing the latest in gadgets, software, and innovation. Follows trends in AI and cybersecurity.",[],"[27, 28, 29, 30]"
27,FitnessFanatic,"An ordinary fitness lover documenting workouts, healthy recipes, and wellness tips. Engages with a community focused on health and motivation.",[],"[26, 28, 29, 30]"
28,TravelExplorer,"A travel blogger sharing experiences from around the globe. Interested in photography, culture, and travel tips.",[],"[26, 27, 29, 30]"
29,BookWorm,"An avid reader and book reviewer. Focused on literary discussions, recommendations, and author interviews.",[],"[26, 27, 28, 30]"
30,CulinaryArtist,"A professional chef sharing recipes, cooking tips, and food photography. Passionate about culinary arts and gastronomy.",[],"[26, 27, 28, 29]"
31,TechGuru99,"A tech enthusiast sharing the latest in gadgets, software, and programming. Engages with a community of developers and tech lovers.",[],"[32, 33, 34, 35]"
32,HealthyEatsDaily,"A nutritionist passionate about healthy eating. Shares recipes, tips, and wellness advice for a balanced lifestyle.",[],"[31, 33, 34, 35]"
33,TravelWithSam,"An avid traveler documenting adventures around the globe. Focuses on travel tips, photography, and cultural experiences.",[],"[31, 32, 34, 35]"
34,BookWormJane,A book lover and reviewer sharing thoughts on the latest novels and classic literature. Engages with a community of readers and writers.,[],"[31, 32, 33, 35]"
35,FitnessFanatic21,"A fitness coach sharing workout routines, motivation, and health tips. Inspires others to lead an active and healthy lifestyle.",[],"[31, 32, 33, 34]"
36,TechSavvyJane,"A tech enthusiast and software developer sharing insights on coding, AI, and the latest tech trends.",[],"[37, 38, 39, 40]"
37,HealthyLivingMike,"Fitness coach and nutritionist focused on promoting healthy lifestyles, wellness tips, and motivational content.",[],"[36, 38, 39, 40]"
38,TravelWithSara,"A travel blogger exploring the world, sharing travel tips, photography, and cultural experiences.",[],"[36, 37, 39, 40]"
39,BookwormTom,"An avid reader and book reviewer discussing literature, writing, and the joy of reading across genres.",[],"[36, 37, 38, 40]"
40,EcoWarriorLily,"Environmental activist advocating for sustainability, sharing eco-friendly tips and raising awareness on climate change.",[],"[36, 37, 38, 39]"
41,TechGuru99,"A tech enthusiast sharing the latest in gadgets, software, and AI trends. Engages with both ordinary users and tech professionals.",[],"[42, 43, 44, 45]"
42,EcoWarriorJane,"An environmental activist focused on climate change, sustainability, and eco-friendly living. Connects with ordinary users and advocates.",[],"[41, 43, 44, 45]"
43,FoodieExplorer,"A culinary adventurer sharing recipes, restaurant reviews, and cooking tips. Appeals to food lovers and home cooks alike.",[],"[41, 42, 44, 45]"
44,FitnessFanatic,"A fitness coach promoting healthy living, workout routines, and nutrition advice. Engages with fitness enthusiasts and beginners.",[],"[41, 42, 43, 45]"
45,BookwormBree,"A passionate reader and book reviewer sharing insights on literature, author interviews, and reading challenges. Connects with book lovers and writers.",[],"[41, 42, 43, 44]"
46,TechGuru123,"A tech enthusiast sharing the latest in gadgets, software, and AI innovations. Engages with both ordinary users and tech professionals.",[],"[47, 48, 49, 50, 51, 52, 53, 54, 55]"
47,HealthNutJane,"Wellness advocate focused on nutrition, fitness tips, and mental health. Connects with everyday users seeking a healthier lifestyle.",[],"[46, 48, 49, 50, 51, 52, 53, 54, 55]"
48,TravelWithTom,"Adventure seeker documenting travel experiences, tips, and photography from around the world. Aimed at both casual travelers and travel enthusiasts.",[],"[46, 47, 49, 50, 51, 52, 53, 54, 55]"
49,BookwormBecky,Avid reader and book reviewer sharing insights on the latest novels and literary trends. Engages with fellow book lovers and authors.,[],"[46, 47, 48, 50, 51, 52, 53, 54, 55]"
50,EcoWarriorMike,Environmental activist advocating for sustainability and climate action. Connects with both ordinary users and eco-conscious individuals.,[],"[46, 47, 48, 49, 51, 52, 53, 54, 55]"
51,TechGuru99,"A tech enthusiast and software developer sharing insights on the latest in technology, programming tips, and gadget reviews.",[],"[46, 47, 48, 49, 50, 52, 53, 54, 55]"
52,TravelWithEmma,"A travel blogger exploring the world and sharing travel tips, destination guides, and personal experiences from her adventures.",[],"[46, 47, 48, 49, 50, 51, 53, 54, 55]"
53,FitnessFanatic,"A fitness coach dedicated to promoting health and wellness through workout routines, nutrition advice, and motivational content.",[],"[46, 47, 48, 49, 50, 51, 52, 54, 55]"
54,Bookworm_Bob,"An avid reader and book reviewer discussing literature, sharing recommendations, and engaging with fellow book lovers.",[],"[46, 47, 48, 49, 50, 51, 52, 53, 55]"
55,CulinaryQueen,"A passionate home cook and food blogger sharing recipes, cooking tips, and culinary adventures in the kitchen.",[],"[46, 47, 48, 49, 50, 51, 52, 53, 54]"
56,TechGuru99,"A tech enthusiast and software developer sharing insights on the latest in technology, programming tips, and gadget reviews.",[],"[57, 58, 59, 60]"
57,EcoWarriorJane,"Environmental activist and sustainability advocate. Focused on climate change, eco-friendly living, and conservation efforts.",[],"[56, 58, 59, 60]"
58,FoodieExplorer,"A passionate food lover and travel blogger. Sharing culinary adventures, recipes, and restaurant reviews from around the world.",[],"[56, 57, 59, 60]"
59,FitnessFanatic,"Fitness coach and health advocate. Offering workout tips, nutrition advice, and motivation for a healthy lifestyle.",[],"[56, 57, 58, 60]"
60,BookLoverSam,"Avid reader and book reviewer. Sharing thoughts on literature, book recommendations, and discussions on various genres.",[],"[56, 57, 58, 59]"
61,TechGuru101,"Tech enthusiast and gadget reviewer. Sharing insights on the latest in technology, software, and innovation.",[],"[62, 63, 64, 65, 66, 67, 68, 69, 70]"
62,FitnessFanatic,"Health and fitness advocate. Passionate about workouts, nutrition tips, and motivating others to lead a healthy lifestyle.",[],"[61, 63, 64, 65, 66, 67, 68, 69, 70]"
63,BookWormJane,"Avid reader and book reviewer. Loves discussing literature, sharing book recommendations, and connecting with fellow book lovers.",[],"[61, 62, 64, 65, 66, 67, 68, 69, 70]"
64,TravelWithTom,"Travel blogger exploring the world. Sharing travel tips, destination guides, and personal experiences from around the globe.",[],"[61, 62, 63, 65, 66, 67, 68, 69, 70]"
65,ArtisticSoul,"Artist and creative mind. Focused on visual arts, sharing artwork, inspiration, and engaging with the art community.",[],"[61, 62, 63, 64, 66, 67, 68, 69, 70]"
66,TechGuru101,"A tech enthusiast sharing the latest in gadgets, software, and digital trends. Ordinary user with a passion for technology.",[],"[61, 62, 63, 64, 65, 67, 68, 69, 70]"
67,FitnessFanatic,"A fitness coach and nutrition expert providing tips on workouts, healthy eating, and wellness. Large following in the health and fitness community.",[],"[61, 62, 63, 64, 65, 66, 68, 69, 70]"
68,BookWormNerd,"An avid reader and book reviewer who shares insights on literature, writing, and author interviews. Ordinary user with a love for books.",[],"[61, 62, 63, 64, 65, 66, 67, 69, 70]"
69,TravelJunkie,"A travel blogger documenting adventures around the world, sharing tips on destinations and travel hacks. Super large user with a global audience.",[],"[61, 62, 63, 64, 65, 66, 67, 68, 70]"
70,EcoWarrior,"An environmental activist focused on sustainability, climate change, and eco-friendly living. Ordinary user advocating for a greener planet.",[],"[61, 62, 63, 64, 65, 66, 67, 68, 69]"
