text,user_index,user_name,topic,tweet_idx,action,origin_tweet_idx,owner_user_index
Visited a breathtaking exhibition at the local museum today. The art was truly inspiring! #art #culture,0, shinebrightart,arts & culture,0,tweet,-1,0
Exploring the vibrant street art scene in the city brings a whole new perspective to urban culture. #streetart #urbanart,1, creativefusions,arts & culture,1,tweet,-1,1
Delving into the rich history of ancient civilizations through art is truly mesmerizing. #history #artifacts,2, thecuriousmuse,arts & culture,2,tweet,-1,2
Finding inspiration in the beauty of traditional folk art from around the world. #folkart #globalculture,3, artistinprogress,arts & culture,3,tweet,-1,3
Love exploring urban art! What's your favorite piece?,0, shinebrightart,arts & culture,4,tweet,-1,0
The intersection of art and history is so fascinating! What's your favorite art movement?,0, shinebrightart,arts & culture,5,tweet,-1,0
That sounds amazing! I've been meaning to check out that exhibition. What was your favorite piece?,1, creativefusions,arts & culture,6,tweet,-1,1
Just discovered the most incredible fusion of traditional and modern art. The possibilities are endless! #artmeetsculture,1, creativefusions,arts & culture,7,tweet,-1,1
I completely agree! Ancient civilizations have so much to teach us about art and culture. Have you come across any fascinating artifacts recently?,2, thecuriousmuse,arts & culture,8,tweet,-1,2
Just spent the day at the museum and I'm still reeling from the experience! The preservation of cultural heritage is so important. #museumlife #culturalheritage,2, thecuriousmuse,history,9,tweet,-1,2
That sounds amazing! What was your favorite piece?,3, artistinprogress,arts & culture,10,tweet,-1,3
Discovering the diversity of cultures through art is a lifelong journey! What's your favorite cultural art form? #art #culture,3, artistinprogress,arts & culture,11,tweet,-1,3
I completely agree! Folk art has so much character and history behind it.,0, shinebrightart,arts & culture,12,tweet,-1,0
Just learned about an amazing new exhibition on ancient art at the local museum! Can't wait to check it out. #art #history,0, shinebrightart,arts & culture,13,tweet,-1,0
I'm loving the vibe of traditional folk art too! What's your favorite piece?,1, creativefusions,arts & culture,14,tweet,-1,1
Just learned about the fascinating history of street art! Anyone have any recommendations for must-see murals in the city? #streetart #urbanexploration,1, creativefusions,arts & culture,15,tweet,-1,1
I completely agree! Ancient civilizations have so much to teach us about art and culture.,2, thecuriousmuse,arts & culture,16,tweet,-1,2
Just learned about a new exhibit on cultural heritage at the local museum. Can't wait to check it out! #museum #culturalheritage,2, thecuriousmuse,arts & culture,17,tweet,-1,2
That sounds amazing! What was your favorite piece?,3, artistinprogress,arts & culture,18,tweet,-1,3
Discovering the beauty of diverse cultures through art is a true passion of mine! What inspires you? #art #culture,3, artistinprogress,arts & culture,19,tweet,-1,3
Love the sound of that exhibition! Which pieces stood out to you?,0, shinebrightart,arts & culture,20,tweet,-1,0
